bioguide_id,state,party,full_name,url,twitter,twitter_id,facebook,id.bioguide,social.twitter,social.facebook,social.youtube_id,social.twitter_id,social.youtube,social.instagram,social.instagram_id
C001066,FL,Democrat,Kathy Castor,https://castor.house.gov,USRepKCastor,1880674038.0,USRepKathyCastor,C001066,USRepKCastor,USRepKathyCastor,UC_irxhmLqVenTFPxDxznG6g,1880674038,RepKathyCastor,usrepkathycastor,
C001080,CA,Democrat,Judy Chu,https://chu.house.gov,RepJudyChu,193732179.0,RepJudyChu,C001080,RepJudyChu,RepJudyChu,UCfcbYOvdEXZNelM8T05nK-w,193732179,RepJudyChu,repjudychu,
C001067,NY,Democrat,Yvette D. Clarke,https://clarke.house.gov,RepYvetteClarke,240812994.0,repyvettedclarke,C001067,RepYvetteClarke,repyvettedclarke,UC8SuQiuL2P9fUHAxuRoTdUQ,240812994,repyvetteclarke,repyvettedclarke,
C001061,MO,Democrat,Emanuel Cleaver,https://cleaver.house.gov,RepCleaver,163570705.0,emanuelcleaverii,C001061,RepCleaver,emanuelcleaverii,UCVC-7CLFjXczoihr5FxDLsw,163570705,repcleaver,repcleaver,
C000537,SC,Democrat,James E. Clyburn,https://clyburn.house.gov,RepJamesClyburn,188019606.0,jameseclyburn,C000537,RepJamesClyburn,jameseclyburn,UCIyU_UA_JEa14gvAwhquKqg,188019606,repjamesclyburn,repjamesclyburn,
C001068,TN,Democrat,Steve Cohen,https://cohen.house.gov,RepCohen,162069635.0,CongressmanSteveCohen,C001068,RepCohen,CongressmanSteveCohen,UC_NJlnsOBjOameUwZk0rvsA,162069635,repcohen,repcohen,
C001053,OK,Republican,Tom Cole,https://cole.house.gov,TomColeOK04,23124635.0,TomColeOK04,C001053,TomColeOK04,TomColeOK04,UCvqzPm_YnNkfEHpm3SEMJMQ,23124635,reptomcole,TomColeOK04,
C001059,CA,Democrat,Jim Costa,https://costa.house.gov,RepJimCosta,245451804.0,RepJimCosta,C001059,RepJimCosta,RepJimCosta,UCVgXX23eJEai6GiBOKO6dvA,245451804,RepJimCostaCA20,,
C001069,CT,Democrat,Joe Courtney,https://courtney.house.gov,RepJoeCourtney,85396297.0,joecourtney,C001069,RepJoeCourtney,joecourtney,UCGVIfe1T2hO1Lx7ap5Wkv1w,85396297,repcourtney,repjoecourtney,
C000880,ID,Republican,Mike Crapo,https://www.crapo.senate.gov,MikeCrapo,600463589.0,mikecrapo,C000880,MikeCrapo,mikecrapo,UCMHzKHg1BE7dEcFjnayw1lA,600463589,senatorcrapo,mikecrapo,329357214.0
C001087,AR,Republican,"Eric A. ""Rick"" Crawford",https://crawford.house.gov,RepRickCrawford,233693291.0,RepRickCrawford,C001087,RepRickCrawford,RepRickCrawford,UCLKAkVl4BHRK73lmDiIgPYg,233693291,RepRickCrawford,reprickcrawford,389864684.0
C001063,TX,Democrat,Henry Cuellar,https://cuellar.house.gov,RepCuellar,210926192.0,152569121550,C001063,RepCuellar,152569121550,UCVgEOdJx3tyILO9EjZ-heEQ,210926192,henrycuellar,RepCuellar,
D000096,IL,Democrat,Danny K. Davis,https://davis.house.gov,RepDannyDavis,789244177.0,CongressmanDKDavis,D000096,RepDannyDavis,CongressmanDKDavis,UCdhrT09_XMr31tuI8OcKsjQ,789244177,dannykdavis07,,
D000197,CO,Democrat,Diana DeGette,https://degette.house.gov,RepDianaDeGette,28599820.0,DianaDeGette,D000197,RepDianaDeGette,DianaDeGette,UCWFQCRTHwsHg9P1Hf-EQtew,28599820,RepDianaDeGette,,
D000216,CT,Democrat,Rosa L. DeLauro,https://delauro.house.gov,RosaDeLauro,140519774.0,CongresswomanRosaDeLauro,D000216,RosaDeLauro,CongresswomanRosaDeLauro,UC9ROfGBm7kSLCEDYwFF6McQ,140519774,rosadelauro,,
D000616,TN,Republican,Scott DesJarlais,https://desjarlais.house.gov,DesJarlaisTN04,235312723.0,ScottDesJarlaisTN04,D000616,DesJarlaisTN04,ScottDesJarlaisTN04,UCvjuSLoi3hS0ECQvJLhwOkA,235312723,ScottDesJarlaisTN04,desjarlaistn04,260930821.0
D000600,FL,Republican,Mario Diaz-Balart,https://mariodiazbalart.house.gov,MarioDB,37094727.0,mdiazbalart,D000600,MarioDB,mdiazbalart,UCpEEd0Plxx5D78pI4a4mFTQ,37094727,MarioDiazBalart,repmariodb,316477657.0
D000399,TX,Democrat,Lloyd Doggett,https://doggett.house.gov,RepLloydDoggett,153944899.0,lloyddoggett,D000399,RepLloydDoggett,lloyddoggett,UCN-kiLKyHPcfRVZ28sAHS_g,153944899,doggett,replloyddoggett,
F000459,TN,Republican,"Charles J. ""Chuck"" Fleischmann",https://fleischmann.house.gov,RepChuck,235190657.0,repchuck,F000459,RepChuck,repchuck,UCTtRrJkM-R-f2K0byCMvHgw,235190657,repchuck,,
F000450,NC,Republican,Virginia Foxx,https://foxx.house.gov,VirginiaFoxx,16256269.0,RepVirginiaFoxx,F000450,VirginiaFoxx,RepVirginiaFoxx,UCggineJcxJn80TRXxdQbx6w,16256269,repvirginiafoxx,repvirginiafoxx,
G000559,CA,Democrat,John Garamendi,https://garamendi.house.gov,RepGaramendi,88806753.0,repgaramendi,G000559,RepGaramendi,repgaramendi,UCRym1qsO72C39gX6pBu4icg,88806753,garamendiCA10,repgaramendi,
G000565,AZ,Republican,Paul A. Gosar,https://gosar.house.gov,RepGosar,240760644.0,repgosar,G000565,RepGosar,repgosar,UC5orqw_9acsKWSRbrqTDXBw,240760644,repgosar,REPGOSAR,
G000386,IA,Republican,Chuck Grassley,https://www.grassley.senate.gov,ChuckGrassley,10615232.0,grassley,G000386,ChuckGrassley,grassley,UCiCPRkcLMInpDeOqGkMTt4w,10615232,senchuckgrassley,senatorchuckgrassley,
G000546,MO,Republican,Sam Graves,https://graves.house.gov,RepSamGraves,29766367.0,118514606128,G000546,RepSamGraves,118514606128,UCdg2ybvoHsSW6t7iJnKHlNg,29766367,,repsamgraves,
G000553,TX,Democrat,Al Green,https://algreen.house.gov,RepAlGreen,156333623.0,repalgreen,G000553,RepAlGreen,repalgreen,UCFtgMZm1YUXaZ8OtOj-GDjA,156333623,RepAlGreen,repalgreen,
G000568,VA,Republican,H. Morgan Griffith,https://morgangriffith.house.gov,RepMGriffith,234057152.0,RepMorganGriffith,G000568,RepMGriffith,RepMorganGriffith,UCzxqD7EY_Rdvbc0spbaYkJA,234057152,RepMorganGriffith,hmorgangriffith,
G000558,KY,Republican,Brett Guthrie,https://guthrie.house.gov,RepGuthrie,1908143071.0,CongressmanGuthrie,G000558,RepGuthrie,CongressmanGuthrie,UCdJhDw-YbdH0RHfWK0sIfiw,1908143071,BrettGuthrie,repguthrie,
H001052,MD,Republican,Andy Harris,https://harris.house.gov,RepAndyHarrisMD,960962340.0,AndyHarrisMD,H001052,RepAndyHarrisMD,AndyHarrisMD,UCvUuV7FiJfJi1yux4qozgMg,960962340,RepAndyHarris,,
H001046,NM,Democrat,Martin Heinrich,https://www.heinrich.senate.gov,MartinHeinrich,1099199839.0,MartinHeinrich,H001046,MartinHeinrich,MartinHeinrich,UCBxh8IK5sMxY0Ln_0G2NYcg,1099199839,SenMartinHeinrich,senatormartinheinrich,285288987.0
H001047,CT,Democrat,James A. Himes,https://himes.house.gov,jahimes,,CongressmanJimHimes,H001047,jahimes,CongressmanJimHimes,UCCeB6czh6nhCHxOMCk_V4yA,,congressmanhimes,repjimhimes,
H001042,HI,Democrat,Mazie K. Hirono,https://www.hirono.senate.gov,MazieHirono,92186819.0,senatorhirono,H001042,MazieHirono,senatorhirono,UCcoKhxad156flzPYJ8JMFOA,92186819,CongresswomanHirono,maziehirono,304094084.0
H001061,ND,Republican,John Hoeven,https://www.hoeven.senate.gov,SenJohnHoeven,382791093.0,SenatorJohnHoeven,H001061,SenJohnHoeven,SenatorJohnHoeven,UC1kQIC2Q_Fq9_NRqdb6eHiw,382791093,senatorjohnhoevennd,senjohnhoeven,1237544252.0
H000874,MD,Democrat,Steny H. Hoyer,https://hoyer.house.gov,RepStenyHoyer,22012091.0,WhipHoyer,H000874,RepStenyHoyer,WhipHoyer,UCvxgqX65cdhHNjJn64cgY9g,22012091,LeaderHoyer,repstenyhoyer,51616645.0
H001058,MI,Republican,Bill Huizenga,https://huizenga.house.gov,RepHuizenga,233949261.0,RepHuizenga,H001058,RepHuizenga,RepHuizenga,UCQPlLLiMnysMmeJ5qUSSjQg,233949261,RepHuizenga,RepHuizenga,
J000288,GA,Democrat,"Henry C. ""Hank"" Johnson, Jr.",https://hankjohnson.house.gov,RepHankJohnson,24745957.0,115356957005,J000288,RepHankJohnson,115356957005,UCqMici9I7nz_i-PN7eSYjwQ,24745957,RepHankJohnson,rephankjohnson,
J000293,WI,Republican,Ron Johnson,https://www.ronjohnson.senate.gov,SenRonJohnson,233737858.0,senronjohnson,J000293,SenRonJohnson,senronjohnson,UCG9XyTVtOAs7VX_q_QVHoaw,233737858,SenatorRonJohnson,senronjohnson,
J000289,OH,Republican,Jim Jordan,https://jordan.house.gov,Jim_Jordan,18166778.0,repjimjordan,J000289,Jim_Jordan,repjimjordan,UCPFBhS00ivPV585GlnNlyqA,18166778,RepJimJordan,,
K000009,OH,Democrat,Marcy Kaptur,https://kaptur.house.gov,RepMarcyKaptur,581141508.0,RepresentativeMarcyKaptur,K000009,RepMarcyKaptur,RepresentativeMarcyKaptur,UCIJUNf22o09nO02oQPLKQ6w,581141508,USRepMarcyKaptur,repmarcykaptur,
K000375,MA,Democrat,William R. Keating,https://keating.house.gov,USRepKeating,232992031.0,Congressman.Keating,K000375,USRepKeating,Congressman.Keating,UC7KPV4xdxO2dms9vl6tETmg,232992031,RepBillKeating,,
K000376,PA,Republican,Mike Kelly,https://kelly.house.gov,MikeKellyPA,935368364.0,191056827594903,K000376,MikeKellyPA,191056827594903,UCoz6u3ooQxoijsWvhoQ0D-A,935368364,repmikekelly,,
L000575,OK,Republican,James Lankford,https://www.lankford.senate.gov,SenatorLankford,225921757.0,SenatorLankford,L000575,SenatorLankford,SenatorLankford,UCz8T6sK5fEycyWmVz6Vpe5Q,225921757,SenatorLankford,senatorlankford,1552251018.0
L000560,WA,Democrat,Rick Larsen,https://larsen.house.gov,RepRickLarsen,404132211.0,RepRickLarsen,L000560,RepRickLarsen,RepRickLarsen,UCMv7LsJtiyO4AJcbRux5CxQ,404132211,congressmanlarsen,repricklarsen,
L000557,CT,Democrat,John B. Larson,https://larson.house.gov,RepJohnLarson,50452197.0,RepJohnLarson,L000557,RepJohnLarson,RepJohnLarson,UCGPsvFF-9WfpdRSCcCrPLiQ,50452197,RepJohnLarson,RepJohnBLarson,
L000566,OH,Republican,Robert E. Latta,https://latta.house.gov,BobLatta,15394954.0,boblatta,L000566,BobLatta,boblatta,UCVSBVHoWu-eWnBBQaMKZ_sQ,15394954,CongressmanBobLatta,boblatta,26367713.0
L000577,UT,Republican,Mike Lee,https://www.lee.senate.gov,SenMikeLee,88784440.0,senatormikelee,L000577,SenMikeLee,senatormikelee,UCplVxs_j_sLAt0fkplXcl4A,88784440,senatormikelee,senmikelee,391361701.0
L000397,CA,Democrat,Zoe Lofgren,https://lofgren.house.gov,RepZoeLofgren,267938462.0,zoelofgren,L000397,RepZoeLofgren,zoelofgren,UCOaQ79adORFcaTuJZoIFuZQ,267938462,RepZoeLofgren,,
L000491,OK,Republican,Frank D. Lucas,https://lucas.house.gov,RepFrankLucas,242772524.0,RepFrankLucas,L000491,RepFrankLucas,RepFrankLucas,UCdYZbKY8pkWAThqwC3fdVMg,242772524,RepFrankLucas,repfranklucas,
L000570,NM,Democrat,Ben Ray Luján,https://www.lujan.senate.gov,SenatorLujan,19318314.0,SenatorLujan,L000570,SenatorLujan,SenatorLujan,,19318314,,senatorlujan,
L000562,MA,Democrat,Stephen F. Lynch,https://lynch.house.gov,RepStephenLynch,310310133.0,repstephenlynch,L000562,RepStephenLynch,repstephenlynch,UCxL4zG0YWqC5XTO4af_FOgw,310310133,RepLynch,repstephenlynch,
M000133,MA,Democrat,Edward J. Markey,https://www.markey.senate.gov,SenMarkey,21406834.0,EdJMarkey,M000133,SenMarkey,EdJMarkey,UCT1ujew5yQy2uMhGrjiKHoA,21406834,RepMarkey,senmarkeymemes,
M001163,CA,Democrat,Doris O. Matsui,https://matsui.house.gov,DorisMatsui,38254095.0,doris.matsui,M001163,DorisMatsui,doris.matsui,UCSqqxVkvskHq3cY2MCbTZsw,38254095,RepDorisMatsui,repdorismatsui,
M001157,TX,Republican,Michael T. McCaul,https://mccaul.house.gov,RepMcCaul,26424123.0,michaeltmccaul,M001157,RepMcCaul,michaeltmccaul,UCRw6sGE0PH7_FCeTT3PQRaA,26424123,MichaelTMcCaul,congressman_mccaul,
M001177,CA,Republican,Tom McClintock,https://mcclintock.house.gov,RepMcClintock,50152441.0,81125319109,M001177,RepMcClintock,81125319109,UCMh04KC4LfIzKoXh2Xws_pw,50152441,McClintockCA04,repmcclintock,
M001143,MN,Democrat,Betty McCollum,https://mccollum.house.gov,BettyMcCollum04,516880804.0,repbettymccollum,M001143,BettyMcCollum04,repbettymccollum,UC3sZJSdiZo2EBHbsOlsnI7A,516880804,BMcCollum04,repbettymccollum,
M000312,MA,Democrat,James P. McGovern,https://mcgovern.house.gov,RepMcGovern,242426145.0,RepJimMcGovern,M000312,RepMcGovern,RepJimMcGovern,UCpiUqp2ZF64tXqgR_EQo27g,242426145,repjimmcgovern,repmcgovern,
